id,query1,query2,label
54,急性咽喉炎上呼吸道感染几天能好呢,急性咽喉炎上呼吸道感染多久能痊愈呢？,1
55,怀孕前期感冒了怎么办？？？,怀孕前期能不能感冒,0
56,小儿支原体肺炎的饮食有什么要注意的？,小儿支原体肺炎的饮食注意事项是什么？,1
57,男朋友咬破胸部得胸膜炎的可能性大吗,男朋友咬破胸部怎么样清理,0
58,鼻渊通窍颗粒可以用来冶疗鼻咽炎吗,鼻炎的症状有哪些,0
59,病毒性感冒要几天才能好？,病毒性感冒一般需要几天能痊愈？,1
60,红霉素软膏的适应症是什么,红霉素软膏有什么功效？,0
61,过敏性哮喘偏方如何治疗,治疗过敏性哮喘的偏方有哪些？,1
62,肺气肿和肺大泡的区别?,怎么区分肺气肿和肺大泡？,1
63,心脑供血不足要有什么方法,心脑供血不足要怎么办,1
64,小儿支原体肺炎的护理是怎么样的？,小儿支原体肺炎怎么护理？,1
65,如何才能让自己不感冒呢,感冒有什么症状,0
66,孩子上呼吸道感染引起中耳炎怎么治疗？,孩子因为上呼吸道感染而引起的耳炎如何治疗？,1
67,肺炎支原体抗体阳性怎么治疗？,肺炎支原体抗体阳性需要治疗多久,0
68,乐达非热毒平颗粒可以治疗什么病,什么病可以吃乐达非热毒平颗粒,1
69,30周孕妇上呼吸道感染怎么办？,30周孕妇上呼吸道感染要住院吗？,0
70,老人肺炎咳嗽吃什么药好的快,什么药治疗老人患上肺炎咳嗽好的快,1
71,含姜片能治咽炎和上呼吸道感染吗？,含姜片治疗咽炎和上呼吸道感染的原理是什么？,0
72,圣泰清热解毒口服液是正规的吗,圣泰清热解毒口服液价格是多少,0
73,怀孕期间感冒了，对胎儿都有什么影响,怀孕期间感冒对胎儿影响都有什么,1
74,你好，克拉霉素片嗓子疼可以吃吗？,你好，嗓子疼吃克拉霉素分散片一次多少合适？,0
75,变异性哮喘需要做哪些检查,变异性哮喘注意些什么？,0
76,银黄颗粒能治疗上呼吸道感染吗,银黄颗粒能治疗什么疾病,0
77,硬脂酸红霉素颗粒有平台卖的吗？,硬脂酸红霉素颗粒平台有卖的没有？,1
78,变异性哮喘有没有最好的治疗方法?,什么是变异性哮喘,0
79,红霉素软膏能在哺乳期使用吗,哺乳期能用红霉素软膏吗？,1
80,出生后感染肺炎是什么病,出生后感染肺炎能治疗吗？,0
81,怎样治疗过敏性哮喘效果好？,过敏性哮喘要如何治疗才好呢？,1
82,变异性哮喘病是什么原因导致的,咳嗽变异性哮喘病人有什么注意事项吗？,0
83,小儿上呼吸道感染怎么办？,小儿上呼吸道感染如何预防？,0
84,过敏性哮喘反复发作怎么办,过敏性哮喘反复发作不用治吗？,0
85,肺部感染胸膜炎好治疗吗？,肺部感染加胸膜炎该怎么治疗，严重吗？,1
86,扁桃体炎患者能否服用克拉霉素分散片？,扁桃体发炎的原因是什么？,0
87,胸膜炎急性胸部疼痛怎么缓解,胸膜炎急性胸部疼痛怎样才能缓解,1
88,新型肺炎乙类传染潜伏期,新型肺炎潜伏期,1
89,打喷嚏流鼻涕可以吃什么感冒药,哪种感冒药治疗打喷嚏流鼻涕,1
90,红树清火栀麦片是中药还是西药,红树清火栀麦片的成分有哪些,0
91,我感冒了还能给宝宝喂奶吗？,孕妇感冒了可以洗澡吗,0
92,哺乳期感冒流鼻涕打喷嚏如何是好,哺乳期感冒流鼻涕打喷嚏有什么办法,1
93,盐酸多西环素可以和补钙的药一起服用吗？,盐酸多西环素用来治疗什么病症？,0
94,肺炎治好了会有后遗症吗,宝宝得了肺炎，会有后遗症吗,1
95,打喷嚏流鼻涕能吃什么感冒药,打喷嚏流鼻涕是什么感冒,0
96,胸膜炎患者是怎么抗病的,胸膜炎患者抗病的方法都有什么,1
97,宝宝吃过东西就吐，怎么治？,宝宝吃过东西就吐有什么好的办法？,1
98,感冒的女性可以过性生活吗,感冒了性生活有影响吗？,1
99,变异性哮喘有什么症状，会带白痰吗,变异性哮喘会传染吗？,0
100,如果得了肺气肿怎么办啊,肺气肿病有什么症状？,0
101,小孩子得了肺炎到底该怎么办啊?,如何看出小孩子是得了肺炎。,0
102,宝宝老流鼻涕怎么回事,宝宝老流鼻涕会不会发烧,0
103,肺炎好了右胸痛怎么办？,肺炎突发右侧胸痛咳嗽怎么办,0
104,德元堂肾衰宁颗粒是正品药吗,德元堂肾衰宁颗粒正品药吗,1
105,如何缓解小儿支原体肺炎引起的咳嗽？,怎么缓解小儿支原体肺炎引起的咳嗽？,1
106,肺功能正常可不可以排除肺气肿？,肺功能正常，能否排除肺气肿？,1
107,能用阿莫西林胶囊治疗伤口吗,阿莫西林胶囊的用量是多少呢,0
108,肺炎输液治疗需要多长时间,肺炎吃什么中药,0
109,孩子感冒咳嗽如何判断是上呼吸道感染,孩子上呼道感染的症状是感冒咳嗽吗,1
110,支原体肺炎症状有哪些？,支原体肺炎有哪些好的疗法？,0
111,肠胃性感冒的症状特征有哪些,肠胃性感冒的发病症状都有什么,1
112,新型肺炎的病因有哪些,新型隐球菌血症，卡式肺孢子菌肺炎复合感染侵袭性真菌菌血症,0
113,上呼吸道感染的治疗方法,孕妇上呼吸道感染治疗方法？,0
114,怀孕期间感冒可以喝姜汤吗？,怀孕期间感冒是不是免疫力低,0
115,肺炎支原体是通过什么传染的?,肺炎支原体感染是什么意思？,0
116,患了肺气肿在饮食上应该注意什么？,患有了肺气肿在饮食上要注意哪些呢？,1
117,怎样治疗过敏性哮喘,过敏性哮喘是由什么原因引起的,0
118,服用了阿胶胶囊后大姨妈来的很多是咋回事,阿胶胶囊是属于补气养血的中药吗,0
119,嗓子疼吃阿莫西林胶囊可以吃驴肉吗？,嗓子疼可以阿莫西林胶囊和驴肉一起吃吗,1
120,服用后葫芦兄弟阿奇霉素干混悬剂会出现哪些不良反应,葫芦兄弟阿奇霉素干混悬剂对于治疗病毒感染有用吗,0
121,2个月小孩支气管炎反复的咳咳不好怎么办,患上支气管炎饮食上需要注意哪些,0
122,怀孕的妈妈感冒对宝宝有什么影响吗,怀孕的妈妈感冒能影响到宝宝吗,1
123,哺乳期得了肺炎怎么办？,哺乳期肺炎怎么办？怎么能不影响孩子吃奶,0
124,吃了阿莫西林胶囊能喝酒吗,吃阿莫西林胶囊会过敏吗,0
125,打喷嚏流鼻涕可以吃什么感冒药,哪种感冒药治疗打喷嚏流鼻涕,1
126,成年人会不会得支原体肺炎？,支原体肺炎会有哪些症状？,0
127,变异性哮喘能彻底治疗好吗,变异性哮喘多久可以治好,0
128,为什么会肺炎支原体抗体弱阳性,肺炎支原体抗体弱阳性应注意什么,0
129,咳嗽有痰可以服用复方甘草口服溶液吗,儿童能用复方甘草口服溶液吗,0
130,近期在吃达肺草痰中带血用这个效果好吗,服用达肺草在饮食上有什么要求吗,0
131,克拉霉素分散片治疗屁股皮肤痒吗,克拉霉素分散片是几级抗生素,0
132,小孩受凉感冒该用哪种感冒药,小孩受凉感冒吃什么感冒药效果好,1
133,间质性肺炎能不能治好？,是什么引起的间质性肺炎,0
134,感冒期间能不能喝龙牡壮骨颗粒,感冒能不能喝龙牡壮骨颗粒吗,1
135,胸膜炎严重吗会有什么表现,胸膜炎病人有什么需要注意的事项？,0
136,孩子得肺炎饮食上要注意什么事？,宝宝患有肺炎在饮食上需要注意什么？,1
137,慢支，肺气肿，左肺大泡有何区别？,慢支，肺气肿，左肺大泡区别有哪些？,1
138,链球菌肺炎，有痛尿病用什么药好？,链球菌肺炎，有痛尿病该用怎样的药好？,1
139,支原体肺炎，吃阿奇霉素好使吗,吃阿奇霉素对于治疗支原体肺炎有效吗？,1
140,气紧胸闷肺气肿如何处理？,肺气肿，胸闷，气短，怎么办？,1
141,请问多吃菠菜对肺炎的影响是什么？,吃菠菜有什么好处,0
142,请问肺气肿有什么症状？,肺气肿到底有多严重呢？,0
143,过敏性哮喘和哮喘是一样病吗,过敏性哮喘过敏源是如何引发哮喘病的？,0
144,中医能治小儿支原体肺炎吗？,中医能否治疗小儿支原体肺炎？,1
145,服用肺力咳胶囊还需要服用消炎药吗,小儿咳嗽有痰，开的蒲地蓝口服液，肺力咳，需不需要再吃什么消炎药？,0
146,陈旧性胸膜炎有什么需要注意的,陈旧性胸膜炎应饮食要注意什么,0
147,阿莫西林胶囊可以治疗黄鼻涕吗,流黄鼻涕可以服用阿莫西林胶囊吗,1
148,请问鸦胆子油软胶囊饭后吃还是饭前吃好？,请问鸦胆子油软胶囊有副作用吗？,0
149,请问克拉霉素缓释片说明书有什么内容,请问克拉霉素缓释片说明书内容是什么,1
150,抽血可以检查出肺炎吗,病毒性肺炎怎么通过血液检查出？,1
151,肺气肿气短怎么办,肺气肿患者发病时气喘如何处理？,1
152,慢性肺气肿为什么会突然转成急性肺气肿？,慢性肺气肿怎么就转成急性肺气肿了,1
153,肺气肿戒烟还会继续发展哇？,肺气肿需要戒烟吗,0
154,支原体肺炎怎样治疗和食疗,支原体感染引发的肺炎如何治疗以及食疗呀？,1
155,地红霉素肠溶片可以在感冒时可以吃吗,感冒了可以吃地红霉素肠溶片么,1
156,变异性哮喘常见的症状有哪些?,变异性哮喘的症状特点有哪些？,1
157,请问，怎么可以治疗哮喘病,哮喘病有什么症状？,0
158,阿莫西林胶囊的功效是什么？,阿莫西林胶囊的作用是什么,1
159,请问有肺炎该怎么治疗？,肺炎需要吸痰吗,0
160,支原体肺炎感染，不打吊瓶可以吗？,支原体肺炎感染怎么办？,0
161,导致小儿支原体肺炎的原因有哪些？,小儿支原体肺炎传播途径有什么？,0
162,服用缬沙坦分散片后会伤肾吗,服用缬沙坦分散片后会对肾产生伤害吗,1
163,23价肺炎疫苗打需要多少钱啊?,肠球菌肺炎的病因是什么,0
164,孩子感冒能吃什么药呢？,孩子感冒需要吃什么药？,1
165,上呼吸道支原体衣原体感染怎么吃阿奇霉素,阿奇霉素可以治疗上呼吸道支原体感染吗,1
166,四岁小孩感冒头疼应该怎么办,四岁小孩感冒头疼感冒发烧怎么治疗？,1
167,儿童支原体肺炎怎么治疗,儿童支原体肺炎该如何治疗？,1
168,肺气肿症状有什么按摩疗法?,肺气肿有哪些症状?,0
169,胸膜炎一年了要做哪些复查？,胸膜炎一年了吃什么药好,0
170,每天早上打喷嚏流鼻涕是怎么回事,每天早上打不起精神是什么原因,0
171,阿莫西林胶囊可以治疗拉肚子吗,拉肚子能吃阿莫西林胶囊吗,1
172,怀孕45天，严重感冒怎么办,怀孕45天，严重感冒怎么治？,1
173,变异性哮喘确诊需要做什么检查？,变异性哮喘病是怎么造成的？,0
174,23价肺炎疫苗有不良反应吗?,23价肺炎疫苗能有不良反应吗,1
175,吃感冒药后喝酒会有什么后果,吃退烧药后能不能喝酒,0
176,肺炎支原体抗体阳性怎么治疗？,肺炎支原体抗体阳性能治好吗,0
177,左氧氟沙星滴眼液五个月的宝宝可以用吗？,使用左氧氟沙星滴眼液要注意什么？,0
178,肺气肿喝橄榄油好吗？,您好请问肺气肿是不是喝橄榄油,1
179,宝宝支原体肺炎感染的症状有哪些？,宝宝肺炎支原体感染要住院?,0
180,老公感冒了，最近可以要小孩么,老公感冒了，最近能不能要小孩么,1
181,肺炎一般要治疗多长时间才能痊愈?,如何治愈肺炎？,0
182,依托红霉素颗粒怎么用药,依托红霉素怎么吃？,1
183,得了过敏性哮喘该怎么办?,得了过敏性哮喘会怎样,0
184,打23价肺炎疫苗花费多少钱,打23价肺炎疫苗需要多少钱啊,1
185,上呼吸道感染:咳嗽半个月,上呼吸道感染半个月了，一直咳嗽,1
186,突发过敏性哮喘需要如何缓解,犯了过敏性哮喘能怎样减轻症状,1
187,宝宝流鼻涕鼻子不通该咋办,宝宝感冒了，流鼻涕鼻子不通，怎么办？,1
188,过敏性哮喘和哮喘是一样病吗,过敏性哮喘病的治疗方法有什么？,0
189,医生说是上呼吸道感染，应该吃什么比较好呢？,上呼吸道感染.吃什么食物,1
190,月子里感冒流鼻涕怎么办,月子里咳嗽怎么办,0
191,克拉霉素缓释片治疗痤疮要几个疗程呢,克拉霉素缓释片治疗痤疮需要几个疗程,1
192,过敏性哮喘的治疗方法有哪些,过敏性哮喘影响身高吗,0
193,永喜盐酸多西环素肠溶胶囊有什么作用,永喜盐酸多西环素肠溶胶囊怎么服用？,0
194,肺力咳合剂效果不太理想需吃什么药代替？,肺力咳合剂效果太好能吃什么药？,1
195,请问中耳炎能使上呼吸道感染吗,请问中耳炎能使上呼吸道严重感染吗？,0
196,治哮喘到北京德胜门中医院怎么样,北京德胜门中医院治疗哮喘病好不好？,1
197,肺炎应该注意什么呢？,得了糖尿病应该注意什么呢？,0
198,肺炎衣原体感染怎样能治愈,肺炎衣原体感染一般多久痊愈?,1
199,阿莫西林胶囊的功效是什么？,阿莫西林胶囊吃多了有什么副作用,0
200,肺气肿感染要怎样治疗严不严重？,肺气肿感染要如何治疗很严重吗？,1
201,宝宝吃过东西就吐，怎么办？,宝宝吃过东西就吐能吃消食片吗,0
202,请问肺气肿有哪些治疗方法？,有什么方法可以治疗肺气肿？,1
203,怀孕16周多感冒了怎么办,怀孕期间应该吃什么,0
204,孕妇有轻微感冒有什么办法,孕妇有轻微感冒症状怎么办才好,1
205,氢溴酸右美沙芬糖浆怎么样啊,孕妇可以喝氢溴酸右美沙芬糖浆吗,0
206,引起胸膜炎会是支气管堵塞吗？,支气管堵塞有可能引起胸膜炎吗,1
207,宝宝得肺炎好了后隔离多长时间,孩子病毒性肺炎好了后隔离多长时间？,1
208,喝酒了能吃氨基比林咖啡因片吗,氨基比林咖啡因片属于特殊药品吗,0
209,23价肺炎疫苗有必要打吗,23价肺炎疫苗婴儿能打吗,0
210,支气管炎的最佳治疗方法是什么,支气管炎能治好吗？,0
211,请问顺尔宁有何功效可以治疗支原体肺炎吗,请问顺尔宁的注意事项是什么？,0
212,大人肺炎的症状有哪些,成人肺炎有哪些症状和体征？,1
213,宝宝有点打喷嚏流鼻涕能不能打预防针,宝宝有点打喷嚏流鼻涕能否打预防针？,1
214,哮喘病平时应该注意什么?,哮喘病有哪些症状？,0
215,感冒了吃药时可以喝茶叶水吗？,感冒了吃药时不可以喝茶叶水,0
216,得了过敏性哮喘该怎么办？,得了过敏性哮喘会传染吗？,0
217,阴囊发凉有潮湿现象晚上感觉明显怎么办？,晚上明显感觉阴囊有潮湿现象并且发凉怎么办？,1
218,小孩肺炎治愈后爱闹肚子怎么回事,小孩肺炎治愈后爱闹肚子怎么导致的？,1
219,儿童支原体肺炎怎么治疗,小孩子得了支原体肺炎会传染给大人吗？,0
220,肺炎刚好，想给孩子吃点益生菌可以吗,感冒可以吃益生菌吗,0
221,请问肺气肿该怎么治疗好？,请问医生肺气肿怎么治疗？,1
222,中耳炎能使上呼吸道感染吗,中耳炎能根治吗,0
223,上呼吸道感染症状是怎么样的,上呼吸道感染有哪些临床症状？,1
224,ct报告右肺中叶索条是什么病还有肺气肿,右肺中叶索条是什么病,1
225,请问老人肺气肿为什么冬天咳嗽得很厉害？,老人肺气肿有什么病症？,0
226,请问盐酸氨溴索和罗红霉素能同时服用吗,罗红霉素氨溴索分散片有什么作用,0
227,用灵泰邦尼治疗上呼吸道感染有用吗,灵泰邦尼是抗炎药吗,0
228,小儿支原体肺炎该怎么医治？,怎么治疗小儿支原体肺炎？,1
229,小儿上呼吸道感染如何预防？,小儿上呼吸道感染会留下后遗症吗？,0
230,请问肺炎好转的表现是什么？,肺炎怎样能彻底治好,0
231,年纪大得急性胸膜炎危险大吗,老人有胸膜炎要怎么办？,0
232,嗜麦芽黄单胞菌肺炎如何诊断检查,嗜麦芽黄单胞菌肺炎该怎么诊断检查？,1
233,老人肺炎主要高烧不退怎么办?,老人肺炎主要高烧不退怎么治疗才能根治,1
234,胸膜炎治愈后有可能复发吗,胸膜炎治愈后复发的可能性大吗,1
235,怀孕七个月了，感冒了怎么治疗,怀孕七个月了、感冒了怎样治疗,1
236,小孩得了支原体肺炎用什么药治最好？,小孩支原体肺炎严重吗？,0
237,可利君片和鲨肝醇片放在一起治什么病,可利君片和鲨肝醇片可以在一起吃吗,0
238,患了肺气肿要做手术吗？,肺气肿的病需要手术治疗吗,1
239,4岁宝宝有支气管炎反复咳嗽不好的该怎么做？,4岁宝宝有支气管炎反复咳嗽不好的该如何是好？,1
240,小孩感冒好后吃什么补身体最好,小孩感冒了吃什么药最好,0
241,只垂性肺炎的治疗方法有哪些？,只垂性肺炎能治好吗？,0
242,香雪牌抗病毒口服液的作用大不大,香雪牌抗病毒口服液的效果好吗,1
243,咳嗽3个月了，可能是变异性哮喘吗,变异性哮喘能治愈吗,0
244,依托红霉素颗粒三个多月的宝宝可以吃吗,依托红霉素颗粒六个月的宝宝怎么吃?宝宝15斤,0
245,哺乳期感冒流鼻涕打喷嚏怎么办,哺乳期打喷嚏，流鼻涕感冒症状怎么办？,1
246,不到5岁小孩老是感冒怎么办？,不到5岁小孩老是感冒可以打流感疫苗吗？,0
247,刚刚满月的婴儿感冒怎么办？,刚满月的宝宝感冒可以用哪些药？,0
248,23价肺炎疫苗要不要打,需要打23价肺炎疫苗吗,1
249,支原体肺炎，好了以后脸和耳朵红是怎么了？,支原体肺炎患者应该怎么治疗比较好呢？,0
250,咳嗽变异性哮喘可以治愈吗,咳嗽变异性哮喘能有治愈的可能吗？,1
251,有没有什么药能把5岁小孩流鼻涕咳嗽治好,5岁小孩咳嗽会不会引起肺炎,0
252,日诺清热解毒口服液的价格是多少,日诺清热解毒口服液卖多少钱,1
253,上呼吸道感染咳嗽厉害吃什么药,上呼吸道感染咳嗽厉害吃哪种药,1
254,环球复方甘草口服溶液有哪些作用呢,环球复方甘草口服溶液成分有哪些,0
255,新型肺炎的病因有哪些,新型肺炎是什么原因引起的,1
256,请问胸膜炎是怎样引起的？,请问胸膜炎是怎么引起的要怎么治,0
257,肺炎咳嗽吃什么药好的快,什么药肺炎咳嗽吃了好的快,1
258,治好肺炎一般要治疗多长时间,肺炎多少天可以痊愈,1
259,今年体检出有肺气肿象征，什么意思,肺气肿常见的病因是什么？,0
260,炎症引起的胸膜炎对胎儿影响大吗,"得了胸膜炎,是什么引起的？",0
261,感冒流鼻涕需要吃什么药？,感冒流鼻涕能吃什么药？,1
262,肺气肿能吃什么营养品?,肺气肿怎么治？,0
263,5岁宝宝支原体肺炎咳嗽厉害，不发烧,5岁宝宝支原体肺炎咳嗽厉害，不发烧如何是好？,1
264,怎样感谢复方甘草口服溶液,婴幼儿服用复方甘草口服溶液有副作用吗,0
265,宝宝前段时间支原体肺炎，好了快半月了又复发咋办,宝宝前段时间支原体肺炎，好了快半月了又复发如何是好？,1
266,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸有哪些副作用？,0
267,23价肺炎疫苗能有不良反应吗,23价肺炎疫苗会不会有不良反应吗?,1
268,怎样确定孩子有没有得肺炎,宝宝肺炎有没有自愈,0
269,上呼吸道感染引发中耳炎该如何治疗呢,上呼吸道感染需要及时治疗吗,0
270,小孩长期流鼻涕是因为什么,小孩长期流鼻涕是什么原因？,1
271,过敏性哮喘用药能根治吗,过敏性哮喘可否用药根治疾病？,1
272,得了支原体肺炎可以服用顺尔宁吗,请问顺尔宁能治疗支原体肺炎吗？,1
273,新型肺炎乙类传染潜伏期,肺炎会传染人吗,0
274,1岁宝宝得了肺炎可以吃哪些水果啊,宝宝肺炎可以吃什么药？,0
275,众生丸我吃了4次了喉咙还痛啊为什么,众生丸能长期使用吗？,0
276,肺炎的症状有哪些症状？,冠状病毒肺炎的症状有哪些症状,0
277,老人肺炎主要高烧不退怎么办?,肺炎高烧不退打激素可以吗,0
278,小孩感冒鼻子不通怎么办,小孩感冒鼻子不通是鼻咽炎吗,0
279,克拉霉素胶囊有什么作用适应症是什么呢,克拉霉素胶囊适合什么人群服用？,0
280,怀孕感冒了要怎样做,怀孕23周6天，感冒了怎么办能吃药吗？,1
281,老人肺气肿病后该吃什么中药来调,老人肺气肿严重吗？,0
282,上呼吸道感染应该吃什么药,上呼道感染引起咳嗽怎么办,0
283,吃了太多的龙鹿丸导致嗓子疼该怎么办,龙鹿丸吃了嗓子疼是什么情况,1
284,如何确认自己是不是感冒了,如何确认自己是感冒不是,1
285,豆腐炖黄豆芽对胸膜炎有好处吗,胸膜炎吃豆腐炖黄豆芽有好处吗,1
286,治疗胸膜炎时胸水多了是什么原因,治疗胸膜炎有什么办法,0
287,如何确认新型冠状性肺炎,如何确诊新型冠状肺炎,1
288,您好，我爸肺气肿好多年，能吃补肺丸吗？,您好，我爸肺气肿好多年补肺丸能吃吗？,1
289,天大托恩布洛芬混悬液用量,布洛芬混悬液有什么副作用？,0
290,变异性哮喘的饮食注意事项有什么忌吃什么？,是什么导致变异性哮喘？,0
291,23价肺炎疫苗的注射时间是什么时候,23价肺炎疫苗打过后多长时间有效,0
292,肺气肿需要做哪些检查?,检查有轻微的肺气肿要怎治疗呀？,0
293,感冒会造成心跳加速吗?,感冒心跳加快为什么？,0
294,过敏性哮喘应该怎么治?,过敏性哮喘需要怎样治疗,1
295,石家庄清热解毒软胶囊效果显著吗,孕妇可以吃石家庄清热解毒软胶囊吗,0
296,"我感冒引起的嗓子哑,怎么办?",有什么办法可以快速治好嗓子哑？,0
297,肺炎疫苗必须打吗,打过肺炎疫苗能喝酒吗,0
298,哺乳期可以吃三九感冒灵颗粒吗,哺乳期吃三九感冒灵颗粒有什么影响吗,1
299,小孩咳嗽老是不好总是反反复复如何是好？,小孩咳嗽反复要注意什么？,0
300,阿莫西林胶囊治什么病的？,想要请教一下阿莫西林胶囊可以治疗什么病症的啊,1
301,得过胸膜炎公考报名用填写吗,得过胸膜炎可以做什么运动,0
302,23价肺炎疫苗需不需要打,23介肺炎疫苗有必要打吗,1
303,冠状病毒感染性肺炎来源,冠状病毒感染肺炎症状,0
304,请问得了肺气肿在家要注意些什么？,得了肺气肿怎么治疗,0
305,肺炎克雷伯杆菌肺炎的治疗方法有哪些,克雷伯杆菌肺炎是什么病？,0
306,众生胶囊可以用这个吗我女8岁,服用众生胶囊会有什么不良反应,0
307,什么是小儿上呼吸道感染,小儿上呼道感染护理是什么,0
308,支原体肺炎感染，可以不打吊瓶嘛？,支原体肺炎感染如何预防？,0
309,感冒了吃药时可以喝茶叶水吗？,感冒了吃药时可以喝抗病毒口服液吗,0
310,哺乳期妇女感冒可以吃什么药,哺乳期妇女感冒吃什么药不影响哺乳,0
311,得过胸膜炎后可以生小孩吗,得过胸膜炎后饮食需要注意什么,0
312,肺气肿宜吃什么忌吃什么？,肺气肿可治愈吗？,0
313,银黄颗粒治上呼吸道感染吗,银黄颗粒用于什么症状,0
314,阿莫西林主要治疗淋巴结发炎吗,淋巴结发炎可以用阿莫西林吗,1
315,肺气肿一般会有哪些症状表现啊,得了肺气肿会有什么危害吗？,0
316,有点流鼻涕可以打预防针吗,宝宝有点流鼻涕能打预防针吗？,1
317,克拉霉素胶囊是消炎药吗,克拉霉素是消炎药吗,1
318,肺气肿的早期症状有哪些?,肺气肿早期症状明不明显？,0
319,打了肺炎疫苗可以几年不用再打了,肺炎疫苗会有什么副作用吗,0
